"Theta [deg]","dB(RealizedGainTotal) [] - Freq='77GHz' Phi='0deg'","dB(RealizedGainTotal)_1 [] - Freq='77GHz' Phi='90.0000000000002deg'"
-24,-9.55919504300101,15.3416803692942
-23,-9.20745374308798,15.4869876729769
-22,-9.13337950486946,15.618804776451
-21,-9.78096359813592,15.7527629236731
-20,-11.7889482045259,15.8899344001874
-19,-16.8063612153671,16.0171003965409
-18,-26.3249024357406,16.1362021039111
-17,-13.2853966635325,16.2573243591383
-16,-7.61774261944249,16.3735569930877
-15,-4.45372360684707,16.4758908482774
-14,-2.72243338673097,16.5742486607086
-13,-2.14589057695115,16.6770857754193
-12,-2.74479317932634,16.775249148386
-11,-4.45231430761979,16.863904424761
-10,-4.74673120385806,16.9505232907332
-9,-0.451699540451625,17.0332179224151
-8,4.2124951388997,17.1020394095612
-7,7.86469536944644,17.1598265048761
-6,10.6775058786994,17.2138882496411
-5,12.8558183443314,17.2585607580948
-4,14.526681345933,17.2887566720797
-3,15.7682556836193,17.3121373426432
-2,16.6317034890538,17.3319366448294
-1,17.1481836858208,17.3399538834373
0,17.334808156933,17.3348081569331
1,17.1976422062369,17.3242945950831
2,16.7312787771938,17.3092656737832
3,15.9220085068135,17.2860237859429
4,14.7464518092584,17.2583463694105
5,13.1610206570955,17.2297608668337
6,11.0946155792564,17.1945649922161
7,8.4371939005867,17.1489586269533
8,5.00895329607249,17.0979172803696
9,0.579507140026897,17.0440792541203
10,-4.33685744653196,16.9841501282511
11,-5.62430327324111,16.9185165291994
12,-3.97381091323416,16.8500061899043
13,-3.20255144893717,16.774137936029
14,-3.71284932597249,16.6838687107347
15,-5.51475907865777,16.5811134624453
16,-8.93336592431678,16.4726912237307
17,-15.0244324730641,16.3598439905084
18,-20.5524351966327,16.2411078989594
19,-13.9417771529452,16.1190607106548
20,-10.387545188876,15.9950577235727
21,-8.83237076186693,15.8630339703075
22,-8.44797873515218,15.7169877616189
23,-8.85170842144413,15.5605003020992
24,-9.56793219441108,15.4024586478675
25,-9.96821685650685,15.2470291569593
26,-9.79449011766984,15.0929270982693
27,-9.29751407295295,14.9385242656635
28,-8.86646814100933,14.7818533970274
29,-8.77579274905906,14.6181753476517
30,-9.22643946136431,14.4437869704967
31,-10.4486540650633,14.2624492573391
32,-12.6076081874204,14.0837295994298
33,-15.8480811247274,13.9136485033154
34,-21.2119849964063,13.7491183612921
35,-32.076175032653,13.5820690086693
36,-22.4672709171723,13.4067283302408
37,-17.659611826838,13.2220734090542
38,-15.486305231596,13.0298707249215
39,-14.413922891267,12.8332480526527
40,-14.127507633456,12.6367937647051
41,-14.6193737965609,12.445138282218
42,-15.7893370604368,12.2592782185998
43,-17.4474357284864,12.0742585984102
44,-19.3075427944114,11.8815077290235
45,-20.5998322533401,11.6744577260277
46,-20.384339611341,11.4528250368348
47,-19.1227152147278,11.2223683733237
48,-17.8087883529696,10.9908559274243
49,-16.8969259584776,10.7634645312853
50,-16.4948010595831,10.5404076677493
51,-16.5867443313723,10.317496067734
52,-17.184622214548,10.0885605429981
53,-18.4103247936454,9.84818022959448
54,-20.4948416866325,9.59367494203861
55,-23.8063348922066,9.32601715902958
56,-29.0201773248952,9.04963803398115
57,-33.1152175872024,8.77113167946639
58,-27.4962094202556,8.4970388892139
59,-23.0920110798441,8.2313577883592
60,-20.36992498782,7.97380284942154
61,-18.7089936984631,7.71964152133912
62,-17.728166272233,7.46119620125548
63,-17.117927177608,7.19034490520076
64,-16.6513057860499,6.90107955097039
65,-16.2573377635026,6.59139560031611
66,-16.0081797192216,6.2641638223625
67,-16.0167931673538,5.92690738954516
68,-16.3604995721485,5.59054568598367
69,-17.0627754824073,5.26729062191487
70,-18.0905045709722,4.96809165542681
71,-19.3283163221042,4.70027139302683
72,-20.5242293144797,4.46607091253987
73,-21.2988278937619,4.26255528806069
74,-21.3987041276381,4.08279357360764
75,-20.9605072281043,3.91775078176137
76,-20.3104131889292,3.75819397864903
77,-19.6652106660863,3.59611716929539
78,-19.0909485541539,3.42551484098641
79,-18.5707898760372,3.24258338047067
80,-18.0640116674514,3.04553911608507
81,-17.5417188437253,2.83424699862537
82,-17.0018246512947,2.60981309511012
83,-16.4659504537687,2.37424564655785
84,-15.9665669901033,2.13024743338065
85,-15.5347515900482,1.88116597105663
86,-15.1937571237495,1.63109193655652
87,-14.957843902639,1.38505482154309
88,-14.8338137341074,1.14921596408101
89,-14.8232563429917,0.930907590258729
90,-14.9245719853202,0.73833029290709
